base_id,original_url,base_url,status,resolved_url,extension,file_type,content_type,content_length,notes
EFTA01617816,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01617816.pdf,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01617816,resolved,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01617816.mov,mov,video,video/quicktime,18163388,confirmed
EFTA01617868,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01617868.pdf,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01617868,resolved,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01617868.m4a,m4a,audio,audio/mp4,293172,confirmed
EFTA01617897,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01617897.pdf,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01617897,resolved,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01617897.opus,ogg,audio,audio/ogg,40807,magic_says_ogg
EFTA01616766,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01616766.pdf,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01616766,resolved,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01616766.pdf,pdf,pdf,application/pdf,2433,confirmed
EFTA01617898,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01617898.pdf,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01617898,resolved,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01617898.opus,ogg,audio,audio/ogg,59849,magic_says_ogg
EFTA01617919,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01617919.pdf,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01617919,resolved,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01617919.mp4,mp4,video,video/mp4,6587757,confirmed
EFTA01617899,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01617899.pdf,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01617899,resolved,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01617899.opus,ogg,audio,audio/ogg,59734,magic_says_ogg
EFTA01617928,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01617928.pdf,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01617928,resolved,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01617928.opus,ogg,audio,audio/ogg,26930,magic_says_ogg
EFTA01617929,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01617929.pdf,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01617929,resolved,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01617929.opus,ogg,audio,audio/ogg,21998,magic_says_ogg
EFTA01617931,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01617931.pdf,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01617931,resolved,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01617931.opus,ogg,audio,audio/ogg,32776,magic_says_ogg
EFTA01617940,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01617940.pdf,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01617940,resolved,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01617940.opus,ogg,audio,audio/ogg,27775,magic_says_ogg
EFTA01617941,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01617941.pdf,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01617941,resolved,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01617941.opus,ogg,audio,audio/ogg,45503,magic_says_ogg
EFTA01617942,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01617942.pdf,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01617942,resolved,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01617942.opus,ogg,audio,audio/ogg,32262,magic_says_ogg
EFTA01617967,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01617967.pdf,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01617967,resolved,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01617967.opus,ogg,audio,audio/ogg,58932,magic_says_ogg
EFTA01617968,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01617968.pdf,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01617968,resolved,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01617968.opus,ogg,audio,audio/ogg,48874,magic_says_ogg
EFTA01617969,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01617969.pdf,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01617969,resolved,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01617969.opus,ogg,audio,audio/ogg,68010,magic_says_ogg
EFTA01618355,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01618355.pdf,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01618355,resolved,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01618355.mov,mov,video,video/quicktime,15899300,confirmed
